Responsible	League / Country	Team	Bet Type	Bet Category
Alexy Cruz	Brasileirão Betano	Ajax	Albania	Both Teams To Score
Anthony Escobar	Bundesliga	Alajuelense	Arsenal or Draw	Double Opportunity
	Champions League	Alavés	Atalanta or Draw	Handicap
	CONCACAF Central American Cup	Albania	Atletico de Madrid	Match Cards
	Conference League	Alemania	Atletico Lanús or Draw	Match Corners
	CONMEBOL Sudamericana	Andorra	Augsburg or Draw	Match Goals
	EFL League Two	Angers	Austria	Player Assists
	EFL Trophy	Arsenal	Bayer Leverkusen or Draw	Player Cards
	Eredivisie	Arsenal Academy	Bayern de Múnich	Player Goal/Assist
	Europa League	Atalanta	Belgica	Player Goals
	La Liga	Atletico de Madrid	Betis: Over 0.5 Goals	Player Shots
	Liga de Expansion MX	Atletico Lanús	Borussia Dortmund	Team Cards
	Liga Portugal	Atletico Mineiro	Borussia Dortmund or Draw	Team Goals
	Ligue 1	Augsburg	Both Teams To Score	Team Qualify
	MLS	Austin	Brentford: Over 0.5 Goals	Team Shots
	Premier League	Austria	CD Olimpia or Draw	Team Win
	Serie A	Azerbaiyán	CD Olimpia To Qualify	
	Süper Lig	Bayer Leverkusen	Chelsea	
	UEFA World Cup Qualifying	Bayern de Múnich	Chelsea: Over 1.5 Cards	
		Belgica	Cheltenham Town or Notts County	
		Betis	España	
		Bochum	FC Barcelona	
		Borussia Dortmund	FC Barcelona or Draw	
		Brentford	Fenerbahçe or Draw	
		Cagliari	Feyenoord	
		Calcio Como	Finlandia	
		Cardiff City	Getafe or Draw	
		CD Olimpia	Inter	
		Celta de Vigo	Istanbul Basaksehir or Draw	
		Charlotte	Jagiellonia or Draw	
		Chelsea	Juventus	
		Cheltenham Town	Juventus: 3+ Shots On Target	
		Chipre	Kylian Mbappe: 2+ Shots On Target	
		Club Brujas	Kylian Mbappe: Goal or Assist	
		Colonia	Lazio or Draw	
		Copenhague	Lille	
		Crystal Palace	Lille or Draw	
		Eintracht Fráncfort	Liverpool: Over 1.5 Cards	
		Elche	Manchester City or Draw	
		España	Manchester United: 3+ Shots On Target	
		Estrella Roja	Milan: 3+ Shots On Target	
		Everton	Napoli or Draw	
		FC Barcelona	New York City or Draw	
		Fenerbahçe	Over 1.5 Goals	
		Feyenoord	Over 2.5 Cards	
		Finlandia	Over 2.5 Goals	
		Fortaleza	Over 3.5 Cards	
		Fortuna Sittard	Over 7.5 Corners	
		Gazisehir Gaziantep	PSV Eindhoven	
		Genclerbirligi	Real Madrid	
		Génova	Real Madrid: Over 1.5 Goals	
		Georgia	Sassuolo or Draw	
		Getafe	Seattle Sounders	
		Gibraltar	Stuttgart or Draw	
		Girona	Suiza or Draw	
		Hellas Verona	Under 10.5 Corners	
		Holanda	Under 3.5 Goals	
		Inter	Under 5.5 Cards	
		Irapuato FC	Under 7.5 Cards	
		Islandia	West Ham United: 3+ Shots On Target	
		Istanbul Basaksehir	West Ham United: Over 0.5 Goals	
		Italia		
		Jagiellonia		
		Juventus		
		Kazajistan		
		Lazio		
		Lecce		
		Leeds United		
		Leipzig		
		Levante		
		Lille		
		Liverpool		
		Los Ángeles		
		Luxemburgo		
		Lyon		
		Mainz		
		Malmo		
		Malta		
		Manchester City		
		Manchester United		
		Metz		
		Milan		
		Milton Keynes		
		Mineros de Zacatecas		
		Minnesota United		
		Moldavia		
		Monaco		
		Montenegro		
		Moreirense		
		Napoli		
		New York City		
		Niza		
		NK Dinamo Zagreb		
		Notts County		
		O. Marsella		
		Olympiacos		
		Oporto		
		Paris FC		
		Parma		
		Polonia		
		PSV Eindhoven		
		Qarabag		
		Rayo Vallecano		
		Real Madrid		
		Real Sociedad		
		Rennes		
		Roma		
		Sassuolo		
		Seattle Sounders		
		Sevilla		
		Shkendija Tetovo		
		Slavia Prague		
		Sporting de Lisboa		
		Stockport County		
		Strasbourg		
		Stuttgart		
		Suecia		
		Suiza		
		Sunderland		
		Swindon Town		
		Torino		
		Tottenham		
		TSG Hoffenheim		
		Universidad de Chile		
		Valencia		
		Villarreal		
		Volendam		
		West Ham United		
		Wigan		
		Wolverhampton		
		Ucrania		
		Hungria		
		Irlanda		
		Noruega		
				
